dt,dr,dh
2.69E-05,0.0058505,0.0035001
2.70E-05,0.0060475,0.0033352
2.71E-05,0.0062503,0.0031768
2.72E-05,0.0064591,0.0030247
2.73E-05,0.006674,0.0028787
2.74E-05,0.0068953,0.0027385
2.75E-05,0.0071231,0.0026038
2.76E-05,0.0073575,0.0024745
2.77E-05,0.0075988,0.0023503
2.78E-05,0.007847,0.002231
2.79E-05,0.0081025,0.0021164
2.80E-05,0.0083652,0.0020064
2.81E-05,0.0086355,0.0019007
2.82E-05,0.0089136,0.0017992
2.83E-05,0.0091995,0.0017017
2.84E-05,0.0094935,0.001608
2.85E-05,0.0097959,0.001518
2.86E-05,0.010107,0.0014315
2.87E-05,0.010426,0.0013484
2.88E-05,0.010755,0.0012686
2.89E-05,0.011093,0.0011919
2.90E-05,0.01144,0.0011182
2.91E-05,0.011796,0.0010473
2.92E-05,0.012163,0.00097922
2.93E-05,0.012539,0.00091376
2.94E-05,0.012926,0.00085084
2.95E-05,0.013324,0.00079036
2.96E-05,0.013732,0.00073221
2.97E-05,0.014151,0.00067629
2.98E-05,0.014582,0.00062253
2.99E-05,0.015024,0.00057083
3.00E-05,0.015478,0.00052111
3.01E-05,0.015944,0.00047328
3.02E-05,0.016423,0.00042728
3.03E-05,0.016914,0.00038304
3.04E-05,0.017418,0.00034047
3.05E-05,0.017936,0.00029951
3.06E-05,0.018467,0.0002601
3.07E-05,0.019012,0.00022218
3.08E-05,0.019571,0.00018569
3.09E-05,0.020145,0.00015057
3.10E-05,0.020734,0.00011676
3.11E-05,0.021338,8.42E-05
3.12E-05,0.021957,5.29E-05
3.13E-05,0.022593,2.27E-05
3.14E-05,0.023244,-6.31E-06
3.15E-05,0.023912,-3.43E-05
3.16E-05,0.024598,-6.12E-05
3.17E-05,0.0253,-8.71E-05
3.18E-05,0.026021,-0.00011212
3.19E-05,0.026759,-0.00013618
3.20E-05,0.027516,-0.00015936
3.21E-05,0.028292,-0.0001817
3.22E-05,0.029087,-0.00020321
3.23E-05,0.029903,-0.00022395
3.24E-05,0.030738,-0.00024393
3.25E-05,0.031594,-0.00026319
3.26E-05,0.032471,-0.00028175
3.27E-05,0.033369,-0.00029964
3.28E-05,0.03429,-0.00031689
3.29E-05,0.035233,-0.00033352
3.30E-05,0.036199,-0.00034955
3.31E-05,0.037188,-0.00036501
3.32E-05,0.038201,-0.00037992
3.33E-05,0.039239,-0.0003943
3.34E-05,0.040301,-0.00040816
3.35E-05,0.041389,-0.00042154
3.36E-05,0.042503,-0.00043444
3.37E-05,0.043644,-0.00044689
3.38E-05,0.044811,-0.00045889
3.39E-05,0.046007,-0.00047048
3.40E-05,0.04723,-0.00048166
3.41E-05,0.048482,-0.00049245
3.42E-05,0.049764,-0.00050286
3.43E-05,0.051075,-0.00051291
3.44E-05,0.052417,-0.00052261
3.45E-05,0.05379,-0.00053197
3.46E-05,0.055195,-0.00054101
3.47E-05,0.069301,-0.00067194
3.48E-05,0.057588,-0.00055997
3.49E-05,0.057374,-0.00056804
3.50E-05,0.057136,-0.00057584
3.51E-05,0.056874,-0.00058336
3.52E-05,0.056586,-0.00059063
3.53E-05,0.056273,-0.00059765
3.54E-05,0.055934,-0.00060443
3.55E-05,0.055567,-0.00061098
3.56E-05,0.055173,-0.00061731
3.57E-05,0.05475,-0.00062342
3.58E-05,0.054298,-0.00062933
3.59E-05,0.053816,-0.00063504
3.60E-05,0.053303,-0.00064055
3.61E-05,0.052759,-0.00064588
3.62E-05,0.052183,-0.00065102
3.63E-05,0.051574,-0.000656
3.64E-05,0.050931,-0.00066081
3.65E-05,0.050253,-0.00066545
3.66E-05,0.04954,-0.00066995
3.67E-05,0.048791,-0.00067429
3.68E-05,0.048005,-0.00067848
3.69E-05,0.047181,-0.00068254
3.70E-05,0.046318,-0.00068646
3.71E-05,0.045415,-0.00069025
3.72E-05,0.044472,-0.00069392
3.73E-05,0.043487,-0.00069746
3.74E-05,0.042459,-0.00070089
3.75E-05,0.041388,-0.0007042
3.76E-05,0.040273,-0.0007074
3.77E-05,0.039112,-0.0007105
3.78E-05,0.037905,-0.00071349
3.79E-05,0.036651,-0.00071639
3.80E-05,0.035348,-0.00071919
3.81E-05,0.033995,-0.0007219
3.82E-05,0.032592,-0.00072451
3.83E-05,0.031137,-0.00072705
3.84E-05,0.02963,-0.0007295
3.85E-05,0.028068,-0.00073186
3.86E-05,0.026451,-0.00073416
3.87E-05,0.024778,-0.00073637
3.88E-05,0.023048,-0.00073851
3.89E-05,0.021259,-0.00074059
3.90E-05,0.01941,-0.00074259
3.91E-05,0.017501,-0.00074453
3.92E-05,0.015529,-0.0007464
3.93E-05,0.013493,-0.00074821
3.94E-05,0.011392,-0.00074997
3.95E-05,0.0092253,-0.00075166
3.96E-05,0.0069909,-0.0007533
3.97E-05,0.0046876,-0.00075489
3.98E-05,0.0024252,-0.0013473
3.99E-05,-0.00082541,-0.00075902
4.00E-05,-0.00082524,-0.00076042
4.01E-05,-0.00082507,-0.00076177
4.02E-05,-0.0008249,-0.00076308
4.03E-05,-0.00082473,-0.00076434
4.04E-05,-0.00082456,-0.00076556
4.05E-05,-0.00082439,-0.00076674
4.06E-05,-0.00082422,-0.00076788
4.07E-05,-0.00082405,-0.00076898
4.08E-05,-0.00082388,-0.00077005
4.09E-05,-0.00082371,-0.00077108
4.10E-05,-0.00082354,-0.00077207
4.11E-05,-0.00082337,-0.00077303
4.12E-05,-0.0008232,-0.00077396
4.13E-05,-0.00082303,-0.00077486
4.14E-05,-0.00082286,-0.00077573
4.15E-05,-0.00082269,-0.00077656
4.16E-05,-0.00082252,-0.00077737
4.17E-05,-0.00082235,-0.00077815
4.18E-05,-0.00082218,-0.00077891
4.19E-05,-0.00082201,-0.00077964
4.20E-05,-0.00082184,-0.00078034
4.21E-05,-0.00082167,-0.00078102
4.22E-05,-0.0008215,-0.00078167
4.23E-05,-0.00082133,-0.0007823
4.24E-05,-0.00082116,-0.00078291
4.25E-05,-0.00082099,-0.0007835
4.26E-05,-0.00082082,-0.00078407
4.27E-05,-0.00082065,-0.00078461
4.28E-05,-0.00082049,-0.00078514
4.29E-05,-0.00082032,-0.00078565
4.30E-05,-0.00082015,-0.00078613
4.31E-05,-0.00081998,-0.0007866
4.32E-05,-0.00081981,-0.00078706
4.33E-05,-0.00081964,-0.00078749
4.34E-05,-0.00081947,-0.00078791
4.35E-05,-0.0008193,-0.00078832
4.36E-05,-0.00081913,-0.0007887
4.37E-05,-0.00081896,-0.00078908
4.38E-05,-0.0008188,-0.00078943
4.39E-05,-0.00081863,-0.00078978
4.40E-05,-0.00081846,-0.00079011
4.41E-05,-0.00081829,-0.00079043
4.42E-05,-0.00081812,-0.00079073
